Post #,Date Posted,Name,"Suggestion 
(Copy/Paste)",Is this an idea? (Y/N),"Original Post 
or Comment?","Link to Source 
(article etc.)",Permalink,# Likes,# Comments,"# Shares/
Retweets","Dialogue Creation
(Y/N)","Quotable 
(Y/N)","Primary 
Theme","Secondary 
Theme","Tertiary 
Theme","Final 
Theme",,,,,
1,11/13,Mileyka Burgos,"We must look at best practices to understand how others are dealing and INCLUSIVELY solving housing issue within USA and around the world, then we need to adapt the concept/framework to Miami WITH THE INPUT OF THE COMMUNITY.",N,OP,https://www.washingtonpost.com/blogs/local/wp/2014/07/02/six-possible-solutions-to-the-affordable-housing-crisis/?utm_term=.85cd95c95d27,https://www.facebook.com/groups/100greatideas/permalink/1507241976033256/,,,,Y,N,,,,,,,,,
2,11/13,Benjamin Leis,All new buildings with more than x units must have y units rent controlled.,Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507249456032508/,,,,Y,Y,Inclusionary zoning,Rent Control,Business districts,,,,,,
2a,11/13,Benjamin Leis,Maybe that or a tax or a line item fund on commercial leases?,Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507249456032508/,,,,,,funding,business district,,,,,,,
2a,11/13,Miami Homes for All,"Thank you so much for participating! I know that rent control has been around for a long time in various cities. Your idea sounds a little bit like mixed-income development -- where a portion of units must remain affordable and the remainder are market-rate. 
We definitely support this idea and believe that there should be more mixed-income development in Miami-Dade County! One of the counter-arguments that we always hear -- how do we pay for the affordable units without drawing on dwindling federal and state resources?",N,C,,https://www.facebook.com/groups/100greatideas/permalink/1507249456032508/,,,,y,y,mixed income housing,funding,,,,,,,
2b,11/13,Tort Bertran,"From Krugman: “The analysis of rent control is among the best-understood issues in all of economics, and -- among economists, anyway -- one of the least controversial. In 1992 a poll of the American Economic Association found 93 percent of its members agreeing that ''a ceiling on rents reduces the quality and quantity of housing.''",N,C,https://l.facebook.com/l.php?u=https%3A%2F%2Fmobile.nytimes.com%2F2000%2F06%2F07%2Fopinion%2Freckonings-a-rent-affair.html%3Freferer&h=ATNbM5FB-PdVlByTiZlakVZNfj2HWf30CtjZB1zdPYNTlRBZY4zu373_6hvw6vDT7pcjnDppQAt6kf2x14Hxyt2XGgdoEsCQpsnilkD0UOwl7vBRzsPznLl3wTyhXGEUInqbOX1wDQ,https://www.facebook.com/groups/100greatideas/permalink/1507249456032508/,,,,y,y,rent control,housing quality,,,,,,,
2c,11/13,Maggie Fernandez,"Commissioner Jordan tried to pass this last year and the board rejected it. There was a lot of developers in the room when item was discussed, very few residents. I recommend we build a citizen’s lobby for housing.",Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507249456032508/,,,,n,Y,inclusionary zoning,citizens lobby,,,,,,,
2c,11/13,Leah Weston,"FYI, rent control is heavily regulated by state law. Cities may only impose rent controls for one year periods after an extensive study is conducted.",N,C,,https://www.facebook.com/groups/100greatideas/permalink/1507249456032508/,,,,Y,,rent control,state regulation,,,,,,,
2c,11/13,Melissa Gallo,"THe state legislature doesn't allow municipalities to regulate certain things. One of which, like Leah mentioned, is rent control. If we want to add on a local tax for housing affordability, that's also something else we cannot do, because there is a state law prohibiting us from doing so without going through a state process. It can really hamper local efforts to explore/implement solutions.",N,C,,https://www.facebook.com/groups/100greatideas/permalink/1507249456032508/,,,,Y,,state preemption,rent control,funding,,,,,,
3,11/13,Richard Lamondin,"Housing affordability goes beyond the cost of rent - utility costs (water, electric) have to be factored in as well. Right now our rates are low relative to most of the country but with more of our drinking supply threatened, this will likely change for water. Also, a recent Michigan State Study found that 1/3 of all American households in five years. This is something we need to pay attention to.
In Denver, to help keep bills low, their water utility installs low flow water fixtures for low income and non profit customers free of charge. Perhaps we should consider something similar.",Y,OP,https://l.facebook.com/l.php?u=https%3A%2F%2Ftonic.vice.com%2Fen_us%2Farticle%2Fjppe9g%2Fa-third-of-americans-wont-be-able-to-afford-water-in-five-years&h=ATO9ZK27KOg8UQHfpipiHORgfxiabK3t8xbDwE_-bP60dzu0G37Z0vPv74-nVHqnptrZdjClTqePAC7c68-T9iH7vkJIAWJHu5JLi2L6iRArC40H3IxJxhSA6VqtY_T_ow_dQtyuu4gxlKRMURk7aUIxcUxtn6ggTVehQsidrzOcykJQVpFRp3BS1mCOaqD5ofVDcN7gPLHDnvomzlfo9qIviTcRaCMwPfOSuUXzLcHuMBxB1JmCFmTmNjD1,https://www.facebook.com/groups/100greatideas/permalink/1507259632698157/,,,,y,y,,,,,,,,,
3,11/13,Richard Lamondin,I think the solution lies less in new buildings and more on updating old ones. The most affordable housing is typically the oldest housing but that is often overlooked. I’ve heard real estate executives joke that if you want more affordable housing today build market rate housing 30 years ago.,Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507259632698157/,,,,,y,utilities,renovations,slumlords,,,,,,
3,11/13,Alana Greer,"Unchecked slumlords greatly contribute to this problem, too. I️ have countless clients with electrical and water bills almost as high as their rent because the buildings have been decaying for decades without proper upkeep. If we had more meaningful inspections and real accountability for bad actors, it would be a huge help and ensure that everyone has access to healthy and dignified housing.",y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507259632698157/,,,,,y,utilities,inspections,renovations,,,,,,
4,11/13,Christine Rupp,"Along with affordability, Miami must find a way to preserve the unique architectural, environmental and cultural integrity of our diverse urban neighborhoods. Without adding historic preservation principles into the mix, all of urban Miami will look the same as it continues to evolve. Preservation can and should work hand-in-hand with affordability concepts and solutions.",N,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507264932697627/,,,,,Y,historic preservation,,,,,,,,
5,11/13,Andrew Frey,"""That means if San Francisco wants the cost of housing to go down, there are three clear ways to get there. The city could build more of the stuff. Or it could hold out for falling incomes or job losses among the people who compete for housing. The second two plans seem counterproductive....""",N,OP,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.washingtonpost.com%2Fnews%2Fwonk%2Fwp%2F2016%2F05%2F22%2Fwhat-it-would-actually-take-to-reduce-rents-in-americas-most-expensive-city%2F&h=ATMc3dtDPBb3Q9apb4tsqsO9exFpr5HRDSMnkD3Ncy7H4dQMc0hjGAqKk8IdlVrALMFfFu50sf3M1L2Qj69yqHrKzU1ZiCDqYio8bctPWbduWm-fVDdwzA2Vvl2OntTdBjbxASROsAgSNApT_UPLVtzCQC94w3gNmylK-yn2sSVXSyCk7N1PWWS_salQhSI4LUEJVT7jTzn5eoLKyteaFNYG_0qCcfsaiqnDr5pV8jEKv9KHS5OWB7oLhANB,https://www.facebook.com/groups/100greatideas/permalink/1507273632696757/,,,,Y,N,,,,,,,,,
6,11/13,Dana Bartholomew Koman,"Help great landlords. Is there any kind of check and balance system to discover great landlords in Miami versus slum lords? Landlords who provide reasonable rent, help maintain their properties, are responsive and overall awesome. Great landlords who maintain quality housing are vital.",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507276999363087/,,,,y,y,landlords,registry,slumlords,,,,,,
